transaction_id,customer_id,transaction_date,amount,category,status
TXN1001,CUST001,2026-01-01,150.50,Retail,COMPLETED
TXN1002,CUST002,2026-01-01,89.99,Electronics,COMPLETED
TXN1003,CUST003,2026-01-02,,Groceries,PENDING
TXN1004,CUST004,2026-01-02,210.00,Retail,COMPLETED
TXN1002,CUST002,2026-01-01,89.99,Electronics,COMPLETED
TXN1005,CUST005,2026-01-03,45.25,Groceries,FAILED
TXN1006,CUST006,2026-01-03,,Dining,COMPLETED
TXN1007,CUST007,2026-01-04,320.75,Electronics,COMPLETED
TXN1008,CUST008,2026-01-04,115.00,Retail,PENDING
TXN1009,CUST009,2026-01-05,75.50,Dining,COMPLETED
TXN1010,CUST010,2026-01-05,500.00,Electronics,COMPLETED
